Employee ID,First name,Last name,Gender,Date of birth,Department,Country
4740629,Le Minh,Anh,Female,13/12/1993,99717,Campuchia
5836725,Nguyen Hai,Bang,Male,22/10/1972,67518,Myanmar
4302430,Ngo Cong,Chinh,Female,10/08/1986,43794,Singapore
7859240,Pham Van Tien,Dat,Male,04/09/1968,59645,Brunei
9668991,Nguyen Tien,Diep,Female,08/09/1962,15144,Lao
3693208,Nguyen Viet Minh,Duy,Female,21/06/1982,15144,Malaysia
5022031,Pham Manh,Ha,Male,13/11/1968,67518,Thailan
5449270,Do Nguyen,Hao,Male,28/04/1965,99717,Vietnam
3813391,Dinh Cong,Hung,Male,27/07/1993,43794,Thailan
2083495,Nguyen Thien,Huy,Female,29/11/1994,46324,Brunei
1115899,Phan Trung,Kien,Female,21/11/1991,99717,Indonesia
9512278,Nguyen Minh,Ky,Male,28/05/1963,67518,Campuchia
3133785,Mai Gia,Minh,Male,04/04/1966,19810,Singapore
7775303,Pham Quynh,Nhu,Female,13/08/2000,67518,Brunei
3424619,Nguyen Minh,Quan,Female,11/01/1988,67518,Philippines
8439123,Nguyen Van,Son,Male,18/02/1996,43794,Philippines
7351817,Nguyen Phuong,Tai,Female,01/12/1979,50214,Brunei
7217199,Tran Pham Gia,Thinh,Male,05/05/1972,46324,Brunei
9053076,Lam Nguyen Anh,Thy,Male,11/12/1997,46324,Singapore
2472408,Cao Huu Minh,Trung,Male,13/10/1996,43794,Thailan
5433655,Nguyen Tran Thien,Vu,Female,08/09/1982,59645,Philippines
5988334,Nguyen Duc,Anh,Female,27/11/1967,43794,Thailan
5927231,Mai Thanh,Binh,Male,07/10/1990,46324,Singapore
4015036,Nguyen Le,Dan,Male,27/11/1974,59645,Vietnam
9438648,Nguyen Phuc,Dat,Male,14/02/1978,67518,Brunei
1207444,Vo Minh,Duy,Male,09/08/1984,35001,Malaysia
2203891,Quach Khanh,Duy,Male,28/11/1981,67518,Campuchia
4665796,Le Nguyen Nhat,Hao,Female,24/08/1993,19810,Indonesia
9625773,Do Le Minh,Hieu,Female,28/08/1994,46324,Indonesia
5669164,Lam Quang,Huy,Female,14/10/1969,43794,Lao
8184031,Truong Quoc,Khanh,Female,07/05/1965,99717,Philippines
3059586,Dang Lu Anh,Kiet,Female,28/06/1972,67518,Brunei
7571947,Tran To Bao,Long,Female,13/12/1983,99717,Brunei
2249787,Huynh An,Nguyen,Female,05/09/1963,50214,Thailan
8678942,Tran Ngoc,Phat,Female,10/08/1987,59645,Thailan
5735409,Tran Le Thai,Son,Female,28/03/1966,99717,Brunei
1912314,Duong Thanh,Tai,Male,18/09/1979,43794,Malaysia
4018734,Nguyen Le Minh,Tan,Female,08/09/1966,99717,Indonesia
2034289,Nguyen Phuc,Thinh,Female,07/11/1998,99717,Thailan
8016603,Nguyen Xuan,Trieu,Male,23/08/1976,50214,Vietnam
2747232,Dinh Pham Anh,Tuan,Female,21/05/1991,19810,Singapore
8327753,Nguyen Thuan,An,Female,04/01/1973,50214,Indonesia
2760008,Nguyen Hoang,Anh,Female,10/12/1964,19810,Philippines
7958092,Doan Kim,Bang,Male,22/03/1994,35001,Malaysia
4183271,Nguyen Thien Ninh,Dong,Female,05/12/2000,15144,Lao
9461482,Ma Anh,Hao,Male,27/10/1960,99717,Thailan
3815870,Phan Khanh,Hung,Male,23/01/1996,46324,Campuchia
9622488,Le Chi,Huong,Female,06/10/1964,99717,Brunei
2296812,Tran Cong,Huy,Female,20/09/1989,46324,Vietnam
6414194,Tran Trong,Khoa,Female,30/12/1980,19810,Lao
8137933,Hong,Kiet,Female,03/08/1969,43794,Philippines
2721853,Nguyen Thach Truong,Lac,Female,05/12/1994,46324,Lao
5768220,Bui Anh,Minh,Female,03/06/1984,46324,Philippines
3915211,Nguyen Ho Nhat,Nam,Female,06/10/1998,19810,Brunei
7288546,Le Nguyen Tuyet,Nhi,Male,11/01/1965,99717,Campuchia
1353498,Tran Nam,Phat,Female,23/11/1980,46324,Myanmar
2880067,Nguyen Thanh,Phong,Female,06/02/1984,59645,Malaysia
2526444,Do Van,Tai,Male,21/03/1983,99717,Vietnam
7020513,Nguyen Mai Tan,Thanh,Male,04/03/1986,46324,Philippines
4881781,Nguyen Huynh Phuong,Toan,Male,09/11/1964,46324,Myanmar
7172759,Le Minh,Triet,Male,04/09/1997,19810,Vietnam
5721240,Pham Thanh,Tuan,Male,10/02/1975,50214,Vietnam
9770493,Ngo Truong,An,Male,04/02/1988,67518,Lao
9010089,Huynh Tuan,Anh,Male,19/09/1960,50214,Vietnam
9860878,Nguyen An,Dat,Female,17/03/1975,59645,Campuchia
9044312,Nguyen Hoang,Duy,Male,28/04/2000,43794,Myanmar
1866647,Nguyen Tran Dai,Hoa,Female,11/12/1990,67518,Lao
3980605,Tran Thuan,Hung,Female,03/08/1967,35001,Brunei
6491752,Phan Luong,Huy,Female,18/10/1991,59645,Campuchia
1335477,Le,Kha,Female,30/09/1979,59645,Campuchia
9053758,Tran Tuan,Kiet,Female,02/06/1979,19810,Brunei
2260231,Vo Thi Thien,Kim,Female,05/07/1981,19810,Malaysia
8160954,Doan Vo Kieu,Lam,Female,20/04/1993,15144,Campuchia
1883889,Pham Tran,Minh,Male,17/04/1978,99717,Brunei
2885147,Nguyen Do Khoa,Nguyen,Female,09/07/1995,99717,Malaysia
6460628,Nguyen Hai Tien,Phat,Male,06/10/1988,99717,Indonesia
1503602,Vo Gia,Phong,Female,13/04/1967,35001,Thailan
2269631,Pham Hoang,Son,Female,22/11/1974,19810,Lao
7650903,Nguyen Phu,Thanh,Male,13/12/1995,19810,Indonesia
4830110,Hoang Phuc,Thuan,Female,02/09/1999,46324,Myanmar
9473295,Tran Phuoc,Toan,Male,11/05/1978,59645,Malaysia
